0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0,0010002;-0,03;-0,0002;0;0,0010002;0,01;-0,0002;0;0,0010002;0,06;-0,0001;0;0,0010002;0,11;-0,0001;0;0,0010001;0,16;-0,0001;0;0,0010001;0,26;-0,0001;0;0,001;0,37;-0,0001;0;0,001;0,47;-0,0001;0;0,0009999;0,57;-0,0001;0;0,0009999;0,67;-0,0001;0;0,0009998;0,77;-0,0001;0;0,0009998;0,87;-0,0001;0;0,0009997;0,98;-0,0001;0;0,0009996;1,23;-0,0001;0;0,0009995;1,48;-0,0001;0;0,0009993;1,74;0;0;0,0009992;1,99;0;0;0,000999;2,5;0;0;0,0009987;3,01;0;0;0,0009985;3,51;0,0001;0;0,0009982;4,02;0,0001;0;0,000998;4,53;0,0001;0;0,0009977;5,03;0,0001;0;0,0009972;6,04;0,0002;0;0,0009967;7,05;0,0002;0;0,0009962;8,06;0,0003;0;0,0009957;9,06;0,0003;0;0,0009952;10,07;0,0003;0;0,0009942;12,07;0,0004;0;0,0009933;14,07;0,0004
10;0,0010003;42,03;0,1511;10;0,0010003;42,07;0,1511;10;0,0010003;42,12;0,1511;10;0,0010002;42,17;0,1511;10;0,0010002;42,21;0,1511;10;0,0010002;42,31;0,1511;10;0,0010001;42,41;0,151;10;0,0010001;42,51;0,151;10;0,001;42,6;0,151;10;0,001;42,7;0,151;10;0,0009999;42,8;0,151;10;0,0009999;42,9;0,151;10;0,0009998;42,99;0,151;10;0,0009997;43,24;0,151;10;0,0009996;43,48;0,151;10;0,0009995;43,73;0,1509;10;0,0009994;43,97;0,1509;10;0,0009991;44,45;0,1509;10;0,0009989;44,94;0,1508;10;0,0009986;45,43;0,1508;10;0,0009984;45,91;0,1507;10;0,000998;46,4;0,1507;10;0,0009979;46,88;0,1506;10;0,0009975;47,85;0,1505;10;0,000997;48,82;0,1504;10;0,0009965;49,79;0,1503;10;0,0009961;50,75;0,1502;10;0,0009956;51,72;0,1501;10;0,0009947;53,64;0,1499;10;0,0009938;55,56;0,1496
20;0,0010018;83,93;0,2965;20;0,0010018;83,96;0,2965;20;0,0010018;84,01;0,2965;20;0,0010018;84,06;0,2965;20;0,0010017;84,11;0,2965;20;0,0010017;84,2;0,2964;20;0,0010016;84,29;0,2964;20;0,0010016;84,39;0,2964;20;0,0010015;84,48;0,2964;20;0,0010015;84,58;0,2964;20;0,0010015;84,67;0,2963;20;0,0010014;84,76;0,2963;20;0,0010014;84,86;0,2963;20;0,0010012;85,09;0,2962;20;0,0010011;85,33;0,2962;20;0,001001;85,56;0,2961;20;0,0010009;85,8;0,2961;20;0,0010007;86,27;0,296;20;0,0010005;86,74;0,2959;20;0,0010002;87,21;0,2958;20;0,001;87,68;0,2957;20;0,001;88,14;0,2956;20;0,0009995;88,61;0,2955;20;0,0009991;89,55;0,2952;20;0,0009986;90,48;0,295;20;0,0009982;91,42;0,2948;20;0,0009977;92,35;0,2946;20;0,0009973;93,29;0,2944;20;0,0009964;95,15;0,2939;20;0,0009955;97,01;0,2935
30;0,0010044;125,75;0,4368;30;0,0010044;125,79;0,4368;30;0,0010044;125,83;0,4368;30;0,0010043;125,88;0,4367;30;0,0010043;125,92;0,4367;30;0,0010043;126,01;0,4367;30;0,0010042;126,11;0,4367;30;0,0010042;126,2;0,4366;30;0,0010041;126,29;0,4366;30;0,0010041;126,38;0,4366;30;0,0010041;126,47;0,4366;30;0,001004;126,56;0,4365;30;0,001004;126,65;0,4365;30;0,0010039;126,88;0,4364;30;0,0010037;127,11;0,4363;30;0,0010036;127,34;0,4363;30;0,0010035;127,56;0,4362;30;0,0010033;128,02;0,436;30;0,0010031;128,47;0,4359;30;0,0010028;128,93;0,4357;30;0,0010026;129,38;0,4356;30;0,001002;129,84;0,4354;30;0,0010022;130,29;0,4353;30;0,0010017;131,2;0,435;30;0,0010013;132,11;0,4346;30;0,0010009;133,02;0,4343;30;0,0010004;133,92;0,434;30;0,001;134,83;0,4337;30;0,0009991;136,64;0,4331;30;0,0009983;138,45;0,4325
40;0,0010079;167,54;0,5724;40;0,0010079;167,58;0,5724;40;0,0010079;167,62;0,5724;40;0,0010078;167,67;0,5724;40;0,0010078;167,71;0,5724;40;0,0010078;167,8;0,5723;40;5010077;167,89;0,5723;40;0,0010077;167,98;0,5722;40;0,0010076;168,07;0,5722;40;0,0010076;168,15;0,5722;40;0,0010075;168,24;0,5721;40;0,0010075;168,33;0,5721;40;0,0010075;168,42;0,572;40;0,0010073;168,64;0,5719;40;0,0010072;168,86;0,5719;40;0,0010071;169,08;0,5718;40;0,001007;169,31;0,5717;40;0,0010068;169,75;0,5715;40;0,0010066;170,19;0,5713;40;0,0010063;170,63;0,5711;40;0,0010061;171,08;0,5709;40;0,001006;171,52;0,5707;40;0,0010057;171,96;0,5705;40;0,0010052;172,84;0,5701;40;0,0010048;173,73;0,5697;40;0,0010044;174,61;0,5693;40;0,0010039;175,49;0,5689;40;0,0010035;176,37;0,5685;40;0,0010026;178,14;0,5678;40;0,0010018;179,9;0,567
50;14,8674;2591,99;8,1741;50;0,0010121;209,37;0,7038;50;0,0010121;209,41;0,7038;50;0,0010121;209,45;0,7037;50;0,0010121;209,5;0,7037;50;0,001012;209,58;0,7037;50;0,001012;209,67;0,7036;50;0,0010119;209,76;0,7036;50;0,0010119;209,84;0,7035;50;0,0010119;209,93;0,7035;50;0,0010118;210,02;0,7034;50;0,0010118;210,1;0,7034;50;0,0010117;210,19;0,7033;50;0,0010116;210,4;0,7032;50;0,0010115;210,62;0,7031;50;0,0010114;210,83;0,703;50;0,0010113;211,05;0,7029;50;0,0010111;211,48;0,7026;50;0,0010108;211,91;0,7024;50;0,0010106;212,34;0,7022;50;0,0010104;212,77;0,702;50;0,00101;213,2;0,7017;50;0,0010099;213,63;0,7015;50;0,0010095;214,49;0,701;50;0,0010091;215,36;0,7006;50;0,0010086;216,22;0,7001;50;0,0010082;217,07;0,6996;50;0,0010078;217,93;0,6992;50;0,0010069;219,65;0,6983;50;0,001006;221,37;0,6973
60;15,3353;2611,18;8,2326;60;0,0010171;251,18;0,8312;60;0,0010171;251,22;0,8312;60;0,0010171;251,26;0,8311;60;0,001017;251,31;0,8311;60;0,001017;251,39;0,8311;60;0,001017;251,47;0,831;60;0,0010169;251,56;0,831;60;0,0010169;251,64;0,8309;60;0,0010168;251,73;0,8309;60;0,0010168;251,81;0,8308;60;0,0010167;251,89;0,8307;60;0,0010167;251,98;0,8307;60;0,0010166;252,19;0,8306;60;0,0010165;252,4;0,8304;60;0,0010163;252,61;0,8303;60;0,0010162;252,82;0,8302;60;0,001016;253,24;0,8299;60;0,0010158;253,66;0,8296;60;0,0010156;254,08;0,8294;60;0,0010153;254,5;0,8291;60;0,001015;254,91;0,8288;60;0,0010149;255,33;0,8286;60;0,0010144;256,17;0,828;60;0,001014;257,01;0,8275;60;0,0010136;257,85;0,827;60;0,0010131;258,69;0,8265;60;0,0010127;259,53;0,8259;60;0,0010118;261,2;0,8249;60;0,0010109;262,88;0,8238
70;15,8018;2630,27;8,2891;70;0,0010228;293,03;0,955;70;0,0010227;293,07;0,955;70;0,0010227;293,12;0,9549;70;0,0010227;293,16;0,9549;70;0,0010226;293,24;0,9548;70;0,0010226;293,32;0,9548;70;0,0010225;293,4;0,9547;70;0,0010225;293,48;0,9547;70;0,0010225;293,56;0,9546;70;0,0010224;293,65;0,9545;70;0,0010224;293,73;0,9545;70;0,0010223;293,81;0,9544;70;0,0010222;294,01;0,9543;70;0,0010221;294,22;0,9541;70;0,001022;294,42;0,954;70;0,0010219;294,63;0,9538;70;0,0010216;295,04;0,9535;70;0,0010214;295,45;0,9532;70;0,0010212;295,85;0,9529;70;0,0010209;296,26;0,9526;70;0,001021;296,67;0,9523;70;0,0010205;297,08;0,952;70;0,00102;297,9;0,9514;70;0,0010196;298,71;0,9509;70;0,0010191;299,53;0,9503;70;0,0010187;300,35;0,9497;70;0,0010182;301,17;0,9491;70;0,0010173;302,8;0,9479;70;0,0010165;304,43;0,9468
80;16,2674;2649,33;8,3438;80;0,001029;334,95;1,0754;80;0,001029;334,99;1,0754;80;0,001029;335,03;1,0753;80;0,001029;335,07;1,0753;80;0,0010289;335,15;1,0752;80;0,0010289;335,23;1,0752;80;0,0010288;335,31;1,0751;80;0,0010288;335,39;1,075;80;0,0010287;335,47;1,075;80;0,0010287;335,55;1,0749;80;0,0010286;335,63;1,0748;80;0,0010286;335,71;1,0748;80;0,0010285;335,91;1,0746;80;0,0010283;336,1;1,0744;80;0,0010282;336,3;1,0743;80;0,0010281;336,5;1,0741;80;0,0010279;336,9;1,0738;80;0,0010276;337,3;1,0734;80;0,0010274;337,7;1,0731;80;0,0010272;338,09;1,0728;80;0,001027;338,49;1,0725;80;0,0010267;338,89;1,0721;80;0,0010262;339,69;1,0715;80;0,0010258;340,48;1,0708;80;0,0010253;341,28;1,0702;80;0,0010248;342,08;1,0695;80;0,0010244;342,87;1,0689;80;0,0010235;344,46;1,0676;80;0,0010226;346,06;1,0663
